Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj							
TIGR01126	81.94859925	-0.037262633	0.259322912	-0.143692019	0.885743674	0.954725769	Protein fate		pdi_dom	protein disulfide-isomerase domain	NA	NA	"This HMM describes a domain of eukaryotic protein disulfide isomerases, generally found in two copies. The high cutoff for total score reflects the expectation of finding both copies. The domain is similar to thioredoxin but the redox-active disulfide region motif is APWCGHCK."
TIGR03005	71.26135012	0.030458662	0.212198499	0.143538537	0.885864878	0.954725769	NA		ectoine_ehuA	"ectoine/hydroxyectoine ABC transporter, ATP-binding protein"	ehuA	NA	"Members of this family are the ATP-binding protein of a conserved four gene ABC transporter operon found next to ectoine unilization operons and ectoine biosynthesis operons. Ectoine is a compatible solute that protects enzymes from high osmolarity. It is released by some species in response to hypoosmotic shock, and it is taken up by a number of bacteria as a compatible solute or for consumption. This family shows strong sequence similiarity to a number of amino acid ABC transporter ATP-binding proteins."
TIGR02482	20.08828897	0.040046516	0.280816986	0.142607171	0.886600434	0.954725769	Energy metabolism		PFKA_ATP	6-phosphofructokinase	pfkA	"6-phosphofructokinase (EC 2.7.1.11) catalyzes the addition of phosphate from ATP to fructose 6-phosphate to give fructose 1,6-bisphosphate."	"6-phosphofructokinase (EC 2.7.1.11) catalyzes the addition of phosphate from ATP to fructose 6-phosphate to give fructose 1,6-bisphosphate."
TIGR00689	10.75787717	0.048053441	0.337653192	0.142315969	0.886830434	0.954725769	NA		rpiB_lacA_lacB	"sugar-phosphate isomerase, RpiB/LacA/LacB family"	NA	5.3.1.-	"Proteins of known function in this family act as sugar (pentose and/or hexose)-phosphate isomerases, including the LacA and LacB subunits of"
TIGR00418	72.50259927	-0.025302641	0.181077156	-0.139734029	0.888870139	0.955722535	Protein synthesis		thrS	threonyl-tRNA synthetase	thrS	6.1.1.3	"This HMM represents the threonyl-tRNA synthetase found in most organisms. This protein is a class II tRNA synthetase, and is recognized by the pfam HMM tRNA-synt_2b. Note that B. subtilis has closely related isozymes thrS and thrZ. The N-terminal regions are quite dissimilar between archaeal and eubacterial forms, while some eukaryotic forms are missing sequence there altogether. ."
TIGR03719	90.50764284	-0.021352829	0.153787873	-0.138845986	0.889571854	0.955722535	NA		ABC_ABC_ChvD	"ATP-binding cassette protein, ChvD family"	NA	NA	"Members of this protein family have two copies of the ABC transporter ATP-binding cassette, but are found outside the common ABC transporter operon structure that features integral membrane permease proteins and substrate-binding proteins encoded next to the ATP-binding cassette (ABC domain) protein. The member protein ChvD from Agrobacterium tumefaciens was identified as both a candidate to interact with VirB8, based on yeast two-hybrid analysis, and as an apparent regulator of VirG. The general function of this protein family is unknown."
TIGR03254	20.45202545	-0.050557257	0.369134963	-0.136961442	0.891061273	0.955722535	Cellular processes		oxalate_oxc	oxalyl-CoA decarboxylase	oxc	4.1.1.8	"In a number of bacteria, including Oxalobacter formigenes from the human gut, a two-gene operon of oxc (oxalyl-CoA decarboxylase) and frc (formyl-CoA transferase) encodes a system for degrading and therefore detoxifying oxalate. Members of this family are the thiamine pyrophosphate (TPP)-containing enzyme oxalyl-CoA decarboxylase."
TIGR01273	22.67567343	0.038025756	0.277770278	0.136896417	0.891112671	0.955722535	Central intermediary metabolism		speA	"arginine decarboxylase, biosynthetic"	speA	4.1.1.19	"Two alternative pathways can convert arginine to putrescine. One is decarboxylation by this enzyme followed by removal of the urea moeity by agmatinase. In the other, the ureohydrolase (arginase) acts first, followed by ornithine decarboxylase. This pathway leads to spermidine biosynthesis, hence the gene symbol speA. A distinct biodegradative form is also pyridoxal phosphate-dependent but is not similar in sequence."
TIGR01758	15.81057225	0.027419391	0.202379234	0.135485198	0.892228267	0.956018811	NA		MDH_euk_cyt	"malate dehydrogenase, NAD-dependent"	NA	1.1.1.37	This model represents the NAD-dependent cytosolic malate dehydrogenase from eukaryotes.
TIGR04384	16.23724412	-0.041610105	0.312147671	-0.133302628	0.893954049	0.956856362	Energy metabolism		putr_carbamoyl	putrescine carbamoyltransferase	ptcA	"Members of this family are putrescine carbamoyltransferase (EC 2.1.3.6). There is some overlapping specificity with ornithine carbamoyltransferase (EC 2.1.3.3). The gene regularly is found next to agmatine deiminase and a carbamate kinase, suggesting a conserved catabolic agmatine deiminase pathway."	"Members of this family are putrescine carbamoyltransferase (EC 2.1.3.6). There is some overlapping specificity with ornithine carbamoyltransferase (EC 2.1.3.3). The gene regularly is found next to agmatine deiminase and a carbamate kinase, suggesting a conserved catabolic agmatine deiminase pathway."
TIGR02977	20.41913567	-0.05608295	0.424418885	-0.132140562	0.894873113	0.956856362	Cellular processes		phageshock_pspA	phage shock protein A	pspA	NA	"Members of this family are the phage shock protein PspA, from the phage shock operon. This is a narrower family than the set of PspA and its homologs, sometimes several in a genome, as described by PFAM model PF04012. PspA appears to maintain the protonmotive force under stress conditions that include overexpression of certain phage secretins, heat shock, ethanol, and protein export defects."
TIGR00211	5.680774124	-0.043918494	0.337630029	-0.130078755	0.896504118	0.956856362	Protein synthesis		glyS	"glycyl-tRNA synthetase, tetrameric type, beta subunit"	glyS	6.1.1.14	"The glycyl-tRNA synthetases differ even among the eubacteria in oligomeric structure. In Escherichia coli and most others, it is a heterodimer of two alpha chains and two beta chains, encoded by tandem genes. The genes are similar, but fused, in Chlamydia trachomatis. By contrast, the glycyl-tRNA synthetases of Thermus thermophilus and of archaea and eukaryotes differ considerably; they are homodimeric, mutually similar, and not detected by this model."
TIGR03375	76.94410757	-0.022624493	0.174214307	-0.129865876	0.896672543	0.956856362	Protein fate		type_I_sec_LssB	"type I secretion system ATPase, LssB family"	NA	NA	"Type I protein secretion is a system in some Gram-negative bacteria to export proteins (often proteases) across both inner and outer membranes to the extracellular medium. This is one of three proteins of the type I secretion apparatus. Targeted proteins are not cleaved at the N-terminus, but rather carry signals located toward the extreme C-terminus to direct type I secretion. This model is related to models TIGR01842 and TIGR01846, and to bacteriocin ABC transporters that cleave their substrates during export."
TIGR01394	263.5607671	0.020823766	0.162116155	0.128449664	0.897793131	0.956856362	Regulatory functions		TypA_BipA	GTP-binding protein TypA/BipA	typA	NA	"This bacterial (and Arabidopsis) protein, termed TypA or BipA, a GTP-binding protein, is phosphorylated on a tyrosine residue under some cellular conditions. Mutants show altered regulation of some pathways, but the precise function is unknown."
TIGR00377	11.40561341	-0.057625384	0.449760815	-0.12812451	0.898050439	0.956856362	Regulatory functions		ant_ant_sig	anti-anti-sigma factor	NA	NA	"This superfamily includes small (105-125 residue) proteins related to SpoIIAA of Bacillus subtilis, an anti-anti-sigma factor. SpoIIAA can bind to and inhibit the anti-sigma F factor SpoIIAB. Also, it can be phosphorylated by SpoIIAB on a Ser residue at position 59 of the seed alignment. A similar arrangement is inferred for RsbV, an anti-anti-sigma factor for sigma B. This Ser is fairly well conserved within a motif resembling MXS[STA]G[VIL]X[VIL][VILF] among homologous known or predicted anti-anti-sigma factors. Regions similar to SpoIIAA and apparently homologous, but differing considerably near the phosphorlated Ser of SpoIIAA, appear in a single copy in several longer proteins, but score below the trusted cutoff currently set for this superfamily HMM."
TIGR04521	80.05201612	-0.031922142	0.255749935	-0.124817791	0.900667802	0.957319193	Transport and binding proteins		ECF_ATPase_2	energy-coupling factor transporter ATPase	NA	3.6.3.-	"Members of this family are ATP-binding cassette (ABC) proteins by homology, but belong to energy coupling factor (ECF) transport systems. The architecture in general is two ATPase subunits (or a double-length fusion protein), a T component, and a substrate capture (S) component that is highly variable, and may be interchangeable in genomes with only one T component. This model identifies many but not examples of the downstream member of the pair of ECF ATPases in Firmicutes and Mollicutes."
TIGR03818	4.745441272	0.049547281	0.401631504	0.123365026	0.901818051	0.957319193	NA		MotA1	flagellar motor stator protein MotA	motA	NA	"The MotA protein, along with its partner MotB, comprise the stator complex of the bacterial flagellar motor. This model represents one family of MotA proteins which are often not identified by the transporter, MotA/TolQ/ExbB proton channel family model, PF01618."
TIGR03263	15.82123205	0.032831621	0.269995933	0.121600428	0.903215475	0.957319193	"Purines, pyrimidines, nucleosides, and nucleotides"		guanyl_kin	guanylate kinase	gmk	2.7.4.8	"Members of this family are the enzyme guanylate kinase, also called GMP kinase. This enzyme transfers a phosphate from ATP to GMP, yielding ADP and GDP."
TIGR00713	23.0502099	0.030323955	0.24995121	0.121319499	0.903437976	0.957319193	"Biosynthesis of cofactors, prosthetic groups, and carriers"		hemL	"glutamate-1-semialdehyde-2,1-aminomutase"	hemL	5.4.3.8	"This enzyme, glutamate-1-semialdehyde-2,1-aminomutase (glutamate-1-semialdehyde aminotransferase, GSA aminotransferase), contains a pyridoxal phosphate attached at a Lys residue at position 283 of the seed alignment. It is in the family of class III aminotransferases."
TIGR01891	10.40456017	0.036424702	0.301706015	0.12072912	0.903905593	0.957319193	Protein fate		amidohydrolases	amidohydrolase	NA	NA	This model represents a subfamily of amidohydrolases which are a subset of those sequences detected by PF01546.
TIGR01358	11.02415662	-0.043412595	0.360725995	-0.120347843	0.904207606	0.957319193	Amino acid biosynthesis		DAHP_synth_II	"3-deoxy-7-phosphoheptulonate synthase, class II"	NA	2.5.1.54	"This HMM represents the class II family of 3-deoxy-7-phosphoheptulonate synthase, aka phospho-2-dehydro-3-deoxyheptonate aldolase, as found in plants and some bacteria. It shows some similarity to the class I family found in many bacteria. The enzyme catalyzes the first of 7 steps in the biosynthesis of chorismate, that last common precursor of all three aromatic amino acids. Homologs scoring between trusted and noise cutoff include proteins involved in antibiotic biosynthesis; one example is active as this enzyme, while another acts on an amino analog."
TIGR02717	14.41105204	-0.06243658	0.520992139	-0.119841692	0.904608554	0.957319193	NA		AcCoA-syn-alpha	"acetyl coenzyme A synthetase (ADP forming), alpha domain"	acs	6.2.1.13	"Although technically reversible, it is believed that this group of ADP-dependent acetyl-CoA synthetases (ACS) act in the direction of acetate and ATP production in the organisms in which it has been characterized [1,2,3]."
TIGR02095	16.80226256	0.035778007	0.300840443	0.118926852	0.905333308	0.957319193	Energy metabolism		glgA	"glycogen/starch synthase, ADP-glucose type"	glgA	2.4.1.21	"This family consists of glycogen (or starch) synthases that use ADP-glucose (EC 2.4.1.21), rather than UDP-glucose (EC 2.4.1.11) as in animals, as the glucose donor. This enzyme is found in bacteria and plants. Whether the name given is glycogen synthase or starch synthase depends on context, and therefore on substrate."
